Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,0.7112739363102277,31,0,0.2407375452168698,100467.98453259545,8,1,1,0,1.0
2,1,0.8098391201576706,26,0,1.4784445956054757,47954.539222072926,3,1,0,1,0.0
3,0,0.880698165248382,45,0,0.5458091744718746,128379.77698202433,6,0,1,1,1.0
4,0,0.44225478617363867,43,0,0.0668575161877462,142530.4006760661,2,0,0,0,0.0
5,0,0.02163992401847335,21,0,0.22600238811170179,29054.55783656402,7,0,0,0,0.0
6,0,0.9865703051954144,26,0,1.245207492532439,41514.63402735919,5,0,1,0,0.0
7,0,0.022301205630206773,45,1,0.5826228124541589,91154.59787100938,7,0,0,0,1.0
8,1,1.8875938139613877,41,1,0.2985614978760458,71400.95861450657,7,0,1,0,0.0
9,0,0.20284876513916922,37,1,0.7034524361606157,84183.93306970515,7,0,1,0,5.0
10,0,0.16884716150336002,49,1,0.47158493712762645,53147.47309989467,4,0,0,0,0.0
11,0,0.0073719459221361664,24,1,1.2646208085516852,137815.19309634564,4,0,1,0,3.0
12,0,0.018379405739511585,34,1,0.15440182838606029,,3,0,2,0,1.0
13,1,1.7806108832352825,48,0,0.5747321559707123,88107.84756929358,4,0,1,0,2.0
14,0,0.8597975903302151,34,1,1.188486564762172,157941.92226482456,2,0,1,0,3.0
15,0,0.6473472515608304,45,0,0.3226608393392688,109878.46147424339,2,1,1,0,2.0
16,0,0.14411972117953753,28,0,0.5603154263228413,52965.134975310524,2,1,0,1,1.0
17,0,0.6300989515583164,32,0,0.29617421563398383,,8,0,1,0,2.0
18,1,0.23920740288272896,21,0,0.5105127625970073,50142.015559795065,4,0,0,0,4.0
19,0,0.11712050176352368,21,0,0.731945921571129,,6,1,1,0,0.0
20,0,0.4592636391139543,36,0,0.3109772689630017,82664.1050712492,5,0,0,0,1.0
21,0,0.6298996253810756,47,0,0.6518473013836615,76751.30741673648,5,0,2,0,1.0
22,0,0.5517297869601749,40,0,0.18784001684262314,58424.391867317376,4,0,0,0,3.0
23,0,0.40680478353391775,55,0,0.21025898337472476,166441.26048382677,3,0,0,0,0.0
24,0,0.20501580942124212,37,0,1.0888983165670283,78042.49654929596,2,0,1,0,2.0
25,0,0.6853015492146239,21,0,0.8974756900022731,67132.2408957075,7,0,1,0,1.0
26,0,0.5778067667512115,46,0,1.8483135762266714,70005.3220363029,5,0,0,0,2.0
27,1,0.6884433547324583,29,0,0.407019558931859,113865.14084373227,6,0,2,0,0.0
28,0,0.21925503753215678,43,0,0.12783887123333224,103880.26693283815,7,0,0,0,3.0
29,0,0.6030522269094335,21,0,0.17894602441678412,106617.4993639561,9,0,0,0,0.0
30,0,0.25323668101981917,38,0,0.6059063550849103,107683.48961815941,5,0,1,0,3.0
31,1,0.45922973018589164,50,1,0.5999902545248083,275931.01849694573,5,0,1,0,1.0
32,0,0.10381213723539615,48,0,0.5144786352971514,67946.21674507727,5,0,0,1,4.0
33,0,0.09218688013497016,38,0,0.40140731395546425,64104.28561938965,6,0,0,0,0.0
34,1,0.23056717598001056,41,1,0.3886700565905384,54307.900874060215,6,0,0,0,4.0
35,0,0.05285380754126486,36,0,0.28147825050319236,119227.49650823024,6,1,1,0,1.0
36,0,0.17121002978328817,38,0,1.639931437472718,158092.36993013383,5,0,0,1,0.0
37,0,0.4066905459700661,49,0,0.6071206696025955,79803.99926539352,8,1,1,0,5.0
38,0,0.23125485431995632,33,0,0.40457573729279395,53525.52584356912,9,0,1,0,1.0
39,1,0.06683477034727342,34,0,0.26295006255502024,53988.98543795535,6,1,2,0,0.0
40,0,0.09536654993944733,23,0,0.4761805009978329,121519.01521003355,4,0,2,0,0.0
41,1,0.2748744981021172,49,1,0.44426132848197064,127872.60759723608,2,0,2,0,1.0
42,0,0.04177743385604515,38,1,0.5668867301343867,114546.35275012106,2,0,2,0,2.0
43,0,0.48850607136259017,26,0,0.28497422748239887,58921.990964868804,3,0,0,0,1.0
44,0,0.2688806638025114,51,0,0.955443278278129,,3,1,0,0,2.0
45,1,0.5864088705672041,40,0,0.3439683026381996,90597.07393871927,9,0,2,0,3.0
46,0,0.29420648820265927,32,0,0.36947836766121683,95824.98447177083,5,0,0,1,1.0
47,1,0.5199522772635095,52,0,0.7505362997369321,137212.46293560625,8,0,1,0,4.0
48,0,0.60507711730476,37,0,0.700171618181842,96083.9484956692,5,0,3,0,0.0
49,0,0.5589836157279965,22,0,0.7457683183803744,123426.66582446528,2,0,1,0,2.0
50,1,0.5520282656682682,52,2,0.9596689977178663,88182.91257238772,7,0,0,2,2.0
51,1,0.30213692121605107,31,1,0.46995810926315346,99609.78376089789,2,0,1,0,1.0
52,0,0.33750336070593906,75,0,1.542770427699171,120235.61129416399,1,0,0,0,0.0
53,1,0.038702595226553616,35,1,0.5353717354536986,38122.666256024255,5,0,3,0,1.0
54,1,0.3549084840425709,21,0,1.3526947859351048,71266.44161390932,4,1,0,0,0.0
55,0,0.17495524509750152,62,0,2.10376014537975,65597.64271991937,6,0,1,0,0.0
56,0,0.1359165934788779,40,1,1.477838383588429,59791.40398082227,6,0,0,0,1.0
57,0,0.3880317676583503,44,0,0.6739389310103897,,6,0,1,0,2.0
58,1,0.45133427949360005,45,0,0.24097207507277604,193342.3481595558,5,1,0,0,3.0
59,1,0.061405119985001144,25,1,0.662438058841542,52775.000720494536,7,1,0,0,0.0
60,0,0.25120755164836917,21,0,0.2951509427645946,144719.56221631428,4,0,1,0,4.0
61,1,0.9549403510090302,64,2,0.3233180935391449,33671.99040889922,7,0,2,1,1.0
62,1,0.2079779054117355,22,1,0.6019249695645933,70672.60069133816,3,0,2,0,2.0
63,1,0.7189881381061626,61,0,0.17695668699320832,92921.85831854508,7,0,1,0,0.0
64,0,0.24548264449652615,47,0,0.27742477908563923,117292.05291340807,3,0,0,0,
65,1,0.32088925938764823,43,1,0.3384401210555701,125639.83230004729,5,0,0,1,2.0
66,0,0.7364015399387194,35,0,0.806033263204529,131444.63027227356,3,0,2,0,0.0
67,0,0.014594284980976339,69,0,0.25348613167566164,,5,1,3,0,1.0
68,0,0.033793220074985156,33,0,0.4532834882931038,65887.66424924441,6,1,1,0,1.0
69,0,0.6215753613878738,33,0,0.6404919226530146,136200.96184696342,6,0,0,0,5.0
