loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,crib_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,1,Graduate,No,1489366.0,3540000.0,36,672,5501674.0,0.0,676998.0,203060.0,Approved
2,2,Not Graduate,Yes,2327801.0,5400000.0,24,586,16062972.0,6240812.0,1358439.0,4096172.0,Rejected
3,1,Not Graduate,No,1240927.0,2470000.0,24,549,8838563.0,0.0,112198.0,1973471.0,Rejected
4,3,Not Graduate,No,480000.0,1120000.0,36,726,2225055.0,0.0,332900.0,430989.0,Rejected
5,1,Graduate,Yes,1162508.0,2330000.0,18,413,3707521.0,2220310.0,85341.0,2280380.0,Rejected
6,1,Graduate,No,1155418.0,1950000.0,24,672,5519707.0,0.0,1007684.0,2020243.0,Approved
7,0,Not Graduate,No,787483.0,1950000.0,18,503,3994515.0,0.0,140101.0,1440353.0,Rejected
8,0,Not Graduate,No,480000.0,340000.0,24,803,992660.0,0.0,501524.0,658678.0,Approved
9,4,Not Graduate,No,1046936.0,600000.0,12,791,-138238.0,0.0,1493798.0,309439.0,Approved
10,1,Graduate,No,480000.0,1170000.0,48,630,1835320.0,0.0,510010.0,773132.0,Approved
11,1,Not Graduate,No,992134.0,1330000.0,60,547,5810643.0,0.0,1015687.0,410792.0,Approved
12,2,Not Graduate,Yes,1078562.0,1260000.0,24,688,1499114.0,170449.0,340687.0,1559560.0,Approved
13,1,Graduate,No,4161092.0,2410000.0,24,791,16682882.0,0.0,4530477.0,3047515.0,Approved
14,1,Not Graduate,No,1987114.0,4270000.0,36,479,14101598.0,0.0,2547716.0,2416407.0,Rejected
15,0,Not Graduate,No,1775764.0,3010000.0,18,615,7275406.0,0.0,2293469.0,2789173.0,Approved
16,3,Not Graduate,Yes,1434547.0,710000.0,18,724,9939403.0,4052125.0,1035697.0,897898.0,Approved
17,1,Not Graduate,No,957050.0,2220000.0,6,681,3649136.0,0.0,730540.0,1204783.0,Rejected
18,1,Graduate,No,931242.0,1390000.0,48,531,6203346.0,0.0,1086698.0,1782098.0,Rejected
19,1,Not Graduate,Yes,805958.0,1330000.0,12,591,3518175.0,1538746.0,1124702.0,1385456.0,Rejected
20,1,Not Graduate,No,1704612.0,980000.0,12,635,5884028.0,0.0,121645.0,1127637.0,Rejected
21,0,Not Graduate,Yes,2347996.0,2390000.0,12,737,5604867.0,827650.0,2385546.0,1375439.0,Approved
22,0,Not Graduate,Yes,914427.0,1580000.0,12,511,845202.0,3062269.0,482261.0,802895.0,Rejected
23,4,Graduate,Yes,1036861.0,1210000.0,48,403,4684028.0,1886682.0,1356785.0,269608.0,Rejected
24,0,Not Graduate,No,1623302.0,4020000.0,12,768,12921675.0,0.0,349025.0,1206969.0,Approved
25,3,Not Graduate,Yes,2424599.0,5390000.0,18,671,17470728.0,8051365.0,837367.0,3453783.0,Approved
26,2,Not Graduate,No,2522468.0,5040000.0,18,754,4831828.0,0.0,1636787.0,923080.0,Approved
27,0,Not Graduate,Yes,3652802.0,8050000.0,18,540,10083781.0,8623043.0,3179497.0,3191561.0,Approved
28,2,Graduate,No,1622290.0,640000.0,24,683,1324669.0,0.0,1722710.0,993934.0,Approved
29,4,Graduate,Yes,1676340.0,3760000.0,18,637,-175105.0,6328000.0,2287089.0,2500594.0,Approved
30,1,Not Graduate,No,2190635.0,950000.0,6,554,9918841.0,0.0,477255.0,1462630.0,Rejected
31,2,Not Graduate,No,735127.0,1640000.0,12,475,5590173.0,0.0,801766.0,1170348.0,Rejected
32,1,Graduate,No,1730185.0,3450000.0,12,515,8472009.0,0.0,992148.0,1748563.0,Approved
33,1,Not Graduate,Yes,1177570.0,2560000.0,36,643,9368568.0,639537.0,1105351.0,1261465.0,Approved
34,1,Graduate,Yes,1820880.0,2570000.0,36,648,11723634.0,6218328.0,224680.0,2651839.0,Approved
35,1,Not Graduate,Yes,1072054.0,420000.0,36,630,7875852.0,3438846.0,214670.0,1753870.0,Approved
36,1,Not Graduate,Yes,1138983.0,800000.0,6,467,6772801.0,1745035.0,682154.0,788507.0,Approved
37,1,Not Graduate,No,786224.0,500000.0,24,662,1755243.0,0.0,888639.0,189044.0,Approved
38,1,Not Graduate,No,2138098.0,1380000.0,12,372,15177226.0,0.0,1856590.0,1528368.0,Approved
39,2,Not Graduate,Yes,1630666.0,3750000.0,24,596,3838665.0,1400916.0,869160.0,1852479.0,Rejected
40,1,Not Graduate,No,1617017.0,3840000.0,60,437,961783.0,0.0,149220.0,2208649.0,Rejected
41,3,Not Graduate,No,712647.0,990000.0,12,557,5480480.0,0.0,851308.0,802597.0,Approved
42,2,Graduate,No,1105171.0,490000.0,18,425,8701939.0,0.0,978187.0,1551158.0,Approved
43,0,Graduate,No,2189587.0,3300000.0,24,611,8802668.0,0.0,2383220.0,1083903.0,Approved
44,2,Graduate,No,2667764.0,5810000.0,18,500,4359924.0,0.0,2936319.0,4868863.0,Rejected
45,3,Graduate,No,1816389.0,2090000.0,24,723,2620129.0,0.0,1518473.0,1767458.0,Approved
46,3,Graduate,No,864013.0,2170000.0,12,710,1568352.0,0.0,1274159.0,1112164.0,Approved
47,2,Not Graduate,No,1773266.0,3420000.0,18,627,7377081.0,0.0,1114528.0,2977013.0,Rejected
48,0,Not Graduate,No,1962263.0,2470000.0,12,632,5369411.0,0.0,472225.0,3721628.0,Approved
49,3,Not Graduate,No,832600.0,2280000.0,48,517,5864142.0,0.0,1160580.0,1345615.0,Approved
50,1,Not Graduate,No,1057396.0,1530000.0,48,580,8033849.0,0.0,265660.0,901365.0,Approved
51,1,Graduate,No,1489712.0,2010000.0,24,758,3271962.0,0.0,1729031.0,972448.0,Approved
52,1,Not Graduate,No,2156250.0,3140000.0,18,616,6518669.0,0.0,2612307.0,3065983.0,Approved
53,4,Not Graduate,No,1186998.0,2970000.0,24,701,7841020.0,0.0,1685108.0,1882427.0,Approved
54,3,Not Graduate,Yes,480000.0,850000.0,6,641,260942.0,93491.0,217070.0,298612.0,Rejected
55,1,Graduate,Yes,947989.0,520000.0,18,628,5664693.0,1056965.0,498945.0,1023311.0,Approved
56,0,Graduate,No,1833019.0,1420000.0,48,632,4246164.0,0.0,635734.0,1749092.0,Rejected
57,2,Graduate,No,981265.0,2380000.0,6,619,7276018.0,0.0,1453366.0,1168837.0,Approved
58,0,Graduate,Yes,870353.0,2190000.0,18,652,1706310.0,3051523.0,316757.0,1709915.0,Rejected
59,1,Graduate,No,762652.0,1610000.0,48,478,1338097.0,0.0,713808.0,245313.0,Rejected
60,4,Not Graduate,No,861328.0,640000.0,12,701,6136789.0,0.0,917021.0,790399.0,Approved
61,2,Graduate,No,939864.0,1350000.0,24,702,6624308.0,0.0,488405.0,570505.0,Approved
62,2,Graduate,Yes,1363603.0,990000.0,48,587,4082462.0,2872502.0,2039739.0,1051252.0,Approved
63,3,Graduate,No,502477.0,590000.0,18,609,2695637.0,0.0,561412.0,270247.0,Rejected
64,1,Graduate,No,503927.0,580000.0,18,645,2886335.0,0.0,513481.0,317050.0,Approved
65,2,Not Graduate,No,480000.0,530000.0,12,468,2769322.0,0.0,484113.0,110205.0,Rejected
66,2,Not Graduate,No,1315877.0,1650000.0,12,573,5290944.0,0.0,315645.0,895845.0,Rejected
67,0,Not Graduate,No,1078044.0,2480000.0,60,722,1387860.0,0.0,483298.0,1720074.0,Approved
68,1,Graduate,No,684387.0,1040000.0,60,680,1255555.0,0.0,402440.0,472173.0,Approved
69,2,Not Graduate,Yes,2059024.0,3220000.0,12,587,15279797.0,5305578.0,1223175.0,1939279.0,Approved
70,2,Not Graduate,No,2024157.0,1940000.0,24,441,8865235.0,0.0,671768.0,454255.0,Approved
71,0,Not Graduate,No,1671992.0,3860000.0,36,562,7996421.0,0.0,1717851.0,2578750.0,Approved
72,0,Not Graduate,No,1223860.0,2840000.0,18,647,8907467.0,0.0,736222.0,1685137.0,Rejected
73,3,Graduate,Yes,480000.0,710000.0,36,604,652886.0,936768.0,50000.0,475392.0,Approved
74,1,Graduate,No,1770865.0,1530000.0,48,557,3987725.0,0.0,221642.0,1723384.0,Approved
75,2,Graduate,No,1678347.0,2670000.0,36,684,11596786.0,0.0,1238588.0,1111614.0,Rejected
76,0,Not Graduate,No,876494.0,780000.0,24,727,757001.0,0.0,729813.0,1065130.0,Approved
77,0,Not Graduate,No,628370.0,1450000.0,48,694,876089.0,0.0,645122.0,435796.0,Approved
78,2,Not Graduate,No,1833281.0,2720000.0,36,630,6380259.0,0.0,1598877.0,3424536.0,Rejected
79,1,Not Graduate,No,1105035.0,1010000.0,18,752,1919349.0,0.0,1027394.0,1427753.0,Approved
80,0,Not Graduate,No,2986156.0,5950000.0,18,607,4870925.0,0.0,4327267.0,2055614.0,Rejected
81,2,Not Graduate,No,623607.0,1170000.0,12,678,2140915.0,0.0,681452.0,628560.0,Approved
82,1,Graduate,No,947856.0,2160000.0,6,514,3723637.0,0.0,447417.0,623407.0,Approved
83,2,Graduate,No,993324.0,1180000.0,6,572,1018311.0,0.0,615327.0,1904513.0,Rejected
84,0,Not Graduate,No,994229.0,2270000.0,6,795,2409116.0,0.0,214249.0,1424332.0,Approved
85,1,Graduate,No,965083.0,840000.0,48,623,5543621.0,0.0,288079.0,1678342.0,Approved
86,0,Graduate,No,940621.0,2180000.0,24,543,1144386.0,0.0,780200.0,99300.0,Approved
87,1,Graduate,Yes,766053.0,980000.0,24,815,593169.0,2657040.0,1133410.0,248301.0,Approved
88,1,Not Graduate,No,480000.0,1140000.0,12,777,406514.0,0.0,282813.0,408932.0,Approved
89,1,Graduate,Yes,1150717.0,1730000.0,18,737,1061773.0,359206.0,1012505.0,2150154.0,Rejected
90,1,Not Graduate,No,1371179.0,2350000.0,6,822,4230000.0,0.0,627161.0,1405039.0,Approved
91,0,Not Graduate,No,1307230.0,3670000.0,6,616,5222033.0,0.0,129248.0,2255326.0,Rejected
92,2,Not Graduate,Yes,644133.0,1200000.0,18,602,3035327.0,297066.0,123566.0,658708.0,Rejected
93,2,Graduate,No,1660814.0,2890000.0,18,730,12830669.0,0.0,1401165.0,747169.0,Approved
94,3,Graduate,Yes,3502295.0,6580000.0,48,627,13296321.0,11217061.0,3341793.0,2237878.0,Approved
95,4,Graduate,No,2296758.0,1480000.0,24,626,14839015.0,0.0,864693.0,1507958.0,Approved
96,3,Graduate,Yes,578946.0,860000.0,48,706,2007608.0,1011301.0,794068.0,535713.0,Approved
97,2,Not Graduate,No,899947.0,1970000.0,12,490,2726741.0,0.0,111378.0,194896.0,Rejected
98,2,Not Graduate,Yes,769348.0,1230000.0,48,585,540717.0,1478915.0,417867.0,120709.0,Approved
99,0,Not Graduate,No,1722336.0,2980000.0,36,553,12322905.0,0.0,1790446.0,1966563.0,Rejected
100,2,Graduate,No,1124895.0,1970000.0,12,538,3293769.0,0.0,1661030.0,2058214.0,Rejected
101,0,Graduate,No,1116541.0,3100000.0,48,748,2468920.0,0.0,630201.0,1394937.0,Approved
102,3,Not Graduate,No,2383259.0,5650000.0,12,446,15045758.0,0.0,919056.0,3562598.0,Rejected
103,1,Graduate,No,1839684.0,3290000.0,48,652,8771284.0,0.0,310147.0,3290670.0,Rejected
104,1,Graduate,No,1071052.0,640000.0,24,468,1924256.0,0.0,722170.0,653903.0,Rejected
105,1,Not Graduate,Yes,2375005.0,2580000.0,24,647,16499025.0,8228051.0,3292353.0,864066.0,Rejected
106,3,Graduate,Yes,611894.0,1320000.0,48,719,2809020.0,843505.0,98645.0,1190497.0,Approved
107,2,Graduate,Yes,2068055.0,1690000.0,36,624,3446580.0,3761099.0,1236275.0,4121965.0,Approved
108,2,Not Graduate,No,601695.0,680000.0,12,453,4213800.0,0.0,339780.0,308687.0,Rejected
109,1,Graduate,No,2947137.0,7000000.0,18,710,9658542.0,0.0,1713402.0,2312158.0,Approved
110,4,Graduate,No,1469096.0,1340000.0,18,483,1360256.0,0.0,940049.0,2384240.0,Approved
111,1,Graduate,Yes,906946.0,1300000.0,36,847,6218814.0,1529074.0,1001521.0,1532919.0,Approved
112,0,Graduate,No,984799.0,2690000.0,12,633,2885348.0,0.0,925910.0,715194.0,Approved
113,0,Graduate,No,723909.0,2150000.0,6,647,3933254.0,0.0,492542.0,1304651.0,Approved
114,2,Not Graduate,No,926248.0,1300000.0,36,592,5204475.0,0.0,1017838.0,610920.0,Approved
115,0,Not Graduate,No,1350414.0,1290000.0,6,734,881101.0,0.0,548331.0,2420112.0,Approved
116,2,Not Graduate,No,896074.0,1660000.0,12,531,1812800.0,0.0,1173147.0,634648.0,Approved
117,2,Graduate,No,1642595.0,2500000.0,24,621,9851376.0,0.0,696422.0,553504.0,Approved
118,3,Graduate,Yes,1091864.0,560000.0,24,678,1541195.0,3351195.0,257455.0,365520.0,Approved
119,1,Not Graduate,Yes,764902.0,1910000.0,24,612,5760599.0,924176.0,1088614.0,577561.0,Approved
120,0,Graduate,No,1321036.0,2090000.0,48,605,7978623.0,0.0,760701.0,2377399.0,Rejected
121,0,Not Graduate,No,725002.0,920000.0,18,706,3586750.0,0.0,156989.0,404287.0,Approved
122,1,Graduate,No,730876.0,1350000.0,12,562,1121608.0,0.0,920722.0,654927.0,Approved
123,3,Not Graduate,No,480000.0,730000.0,12,523,1733977.0,0.0,171545.0,843121.0,Rejected
124,0,Graduate,No,1382305.0,2450000.0,12,664,1161520.0,0.0,537144.0,1159093.0,Approved
125,0,Not Graduate,No,480000.0,870000.0,60,672,998133.0,0.0,219946.0,396786.0,Approved
126,1,Not Graduate,No,3158213.0,4550000.0,6,645,7351381.0,0.0,1047046.0,2605638.0,Approved
127,0,Graduate,No,1032445.0,1140000.0,24,546,6603536.0,0.0,1129131.0,1028311.0,Approved
128,3,Graduate,No,1734324.0,2950000.0,24,543,10854795.0,0.0,1177650.0,1935830.0,Approved
129,0,Not Graduate,No,2463096.0,3080000.0,48,611,19551870.0,0.0,200427.0,4515072.0,Rejected
130,1,Not Graduate,No,898668.0,2060000.0,36,594,2829839.0,0.0,674754.0,642664.0,Rejected
131,1,Not Graduate,Yes,1272137.0,2610000.0,6,640,4727013.0,3731262.0,1067184.0,1460571.0,Approved
132,2,Graduate,Yes,488812.0,430000.0,48,401,2861092.0,599528.0,427772.0,965575.0,Rejected
133,2,Graduate,Yes,1021253.0,1860000.0,24,562,5449432.0,1165148.0,1318973.0,137649.0,Approved
134,2,Graduate,No,2823823.0,7130000.0,12,900,18272972.0,0.0,726579.0,2372680.0,Approved
135,1,Graduate,No,844718.0,810000.0,18,528,3072850.0,0.0,75306.0,545566.0,Approved
136,1,Graduate,Yes,925844.0,500000.0,6,664,7092588.0,325013.0,923267.0,294262.0,Approved
137,2,Graduate,No,1533710.0,2260000.0,6,667,2185725.0,0.0,1264307.0,2513486.0,Approved
138,4,Graduate,Yes,480000.0,1060000.0,60,396,3157447.0,1039982.0,227366.0,456538.0,Rejected
